Time (s),LQR fa_dot,LQR fw_dot,LQR u3
1475.5,2.5999228765377755,0.0,5e-05
1476.0,2.599913843405803,0.0,5e-05
1476.5,2.599996977391261,0.003,-5e-05
1477.0,2.5999716953432848,0.0,-5e-05
1477.5,2.5999747568339675,0.003,-5e-05
1478.0,2.5999356245948317,0.0,5e-05
1478.5,2.599913027961035,0.0,5e-05
1479.0,2.5999884859560396,0.003,-5e-05
1479.5,2.5999742701509194,0.0,-5e-05
1480.0,2.5999801110559377,0.003,-5e-05
1480.5,2.599926343474437,0.0,5e-05
1481.0,2.5999181204929593,0.0,5e-05
1481.5,2.6000065375938815,0.003,-5e-05
1482.0,2.5999895587222155,0.0,-5e-05
1482.5,2.599979674201668,0.003,-5e-05
1483.0,2.599938022383117,0.0,5e-05
1483.5,2.5999202844659886,0.0,5e-05
1484.0,2.6000074093209387,0.003,-5e-05
1484.5,2.599993067307969,0.0,-5e-05
1485.0,2.5999859755193273,0.003,-5e-05
1485.5,2.5999375085732632,0.0,5e-05
1486.0,2.5999276659423987,0.000909003064968649,5e-05
1486.5,2.599975826575445,0.0,-5e-05
1487.0,2.600050594306912,0.003,-5e-05
1487.5,2.6000234311331565,0.0,-5e-05
1488.0,2.600002567841773,0.003,-5e-05
1488.5,2.599938156010796,0.0,5e-05
1489.0,2.599922580850718,0.0004139261002556896,5e-05
1489.5,2.599999483906253,0.003,-5e-05
1490.0,2.599954105294483,0.0,5e-05
1490.5,2.599934940778324,0.003,5e-05
1491.0,2.599898997964009,0.0,5e-05
1491.5,2.5998890581346012,0.0,5e-05
1492.0,2.599964356124926,0.003,-5e-05
1492.5,2.5999414247454373,0.0,5e-05
1493.0,2.599941391072759,0.003,5e-05
1493.5,2.599898133677388,0.0,5e-05
1494.0,2.599885006109938,0.0,5e-05
1494.5,2.5999664598958345,0.003,-5e-05
1495.0,2.5999645687101554,0.0,2.0343586097593125e-05
1495.5,2.5999662146065226,0.003,-5e-05
1496.0,2.599915453774071,0.0,5e-05
1496.5,2.599897152742698,0.0,5e-05
1497.0,2.599976674478444,0.003,-5e-05
1497.5,2.5999603639563964,0.0,5e-05
1498.0,2.5999522957698695,0.003,9.657611761026974e-06
1498.5,2.59991340090032,0.0,5e-05
1499.0,2.5999121163316934,0.0,5e-05
1499.5,2.6000030618315133,0.003,-5e-05
1500.0,2.5999947999828548,0.0,-5e-05
1500.5,2.599990282089977,0.003,-5e-05
1501.0,2.5999193880666382,0.0,5e-05
1501.5,2.599878357208846,0.0,5e-05
1502.0,2.5999212198694663,0.003,5e-05
1502.5,2.5998725331529116,0.0,5e-05
1503.0,2.5998479590575636,0.0,5e-05
1503.5,2.5998990954800005,0.003,5e-05
1504.0,2.5998592726824343,0.0,5e-05
1504.5,2.5998227246515593,0.0,5e-05
1505.0,2.5998823799048334,0.003,5e-05
1505.5,2.599855156964046,0.0,5e-05
1506.0,2.5998219331270644,0.0,5e-05
1506.5,2.5998922442351713,0.003,5e-05
1507.0,2.599857808110851,0.0,5e-05
1507.5,2.599839232804079,0.0,5e-05
1508.0,2.5999056767930493,0.003,5e-05
1508.5,2.5998740923591637,0.0,5e-05
1509.0,2.5998502699013426,0.0,5e-05
1509.5,2.5999269726302274,0.003,-3.774028274938779e-05
1510.0,2.599894537983093,0.0,5e-05
1510.5,2.5998771689662927,0.0,5e-05
1511.0,2.599949664540452,0.003,-5e-05
1511.5,2.599922829154388,0.0,5e-05
1512.0,2.5999051620854847,0.0,5e-05
1512.5,2.599980719436694,0.003,-5e-05
1513.0,2.5999627335650364,0.0,-5e-05
1513.5,2.5999535308359145,0.003,-5e-05
1514.0,2.5998899172663004,0.0,5e-05
1514.5,2.5998637114121785,0.0,5e-05
1515.0,2.599943973850941,0.003,-5e-05
1515.5,2.5999215875621697,0.0,5e-05
1516.0,2.599898919423007,0.0,5e-05
1516.5,2.59997125589599,0.003,-5e-05
1517.0,2.599939123408169,0.0,-4.984874850166854e-05
1517.5,2.5999268912710023,0.003,3.060762574080833e-05
1518.0,2.5998719231816776,0.0,5e-05
1518.5,2.599850639343134,0.0,5e-05
1519.0,2.5999316307611626,0.003,-5e-05
1519.5,2.599911478555179,0.0,5e-05
1520.0,2.5999033616736344,0.0,5e-05
1520.5,2.599991303399378,0.003,-5e-05
1521.0,2.5999745396130876,0.0,-5e-05
1521.5,2.599969142155833,0.003,-5e-05
1522.0,2.5999250180243743,0.0,5e-05
1522.5,2.5999043583652766,0.0,5e-05
1523.0,2.599980701752362,0.003,-5e-05
1523.5,2.5999579201298086,0.0,-5e-05
1524.0,2.5999391733464354,0.003,-5e-05
1524.5,2.5998927856553964,0.0,5e-05
1525.0,2.5998820929270074,0.0,5e-05
1525.5,2.5999563051543384,0.003,-5e-05
1526.0,2.599921500782207,0.0,5e-05
1526.5,2.599910606797613,0.0011553205350253051,5e-05
1527.0,2.5999458637078825,0.0,-5e-05
1527.5,2.5999977953006543,0.003,-5e-05
1528.0,2.5999649889432255,0.0,-5e-05
1528.5,2.5999464494247455,0.003,-5e-05
1529.0,2.599890796831137,0.0,5e-05
1529.5,2.5998711582435896,0.0,5e-05
1530.0,2.599936323642167,0.003,-5e-05
1530.5,2.5999137414193862,0.0,5e-05
1531.0,2.5999153578621024,0.002469982210380738,5e-05
1531.5,2.599894640984523,0.0,5e-05
1532.0,2.599898046983506,0.003,5e-05
1532.5,2.5998621089257816,0.0,5e-05
1533.0,2.5998422807712376,0.0,5e-05
1533.5,2.5999286352516333,0.003,-5e-05
1534.0,2.599912614651203,0.0,5e-05
1534.5,2.599906462475455,0.0005453004341847581,5e-05
1535.0,2.599960499056048,0.003,-5e-05
1535.5,2.599914153960296,0.0,5e-05
1536.0,2.5998953334136754,0.0,5e-05
1536.5,2.5999693157352444,0.003,-5e-05
1537.0,2.599959358632415,0.0,-5e-05
1537.5,2.5999477724801645,0.003,-5e-05
1538.0,2.599899078191092,0.0,5e-05
1538.5,2.5998826418457885,0.0,5e-05
1539.0,2.5999637886840126,0.003,-5e-05
1539.5,2.5999466874072223,0.0,-5e-05
1540.0,2.5999400058999824,0.003,-5e-05
1540.5,2.5998941512448903,0.0,5e-05
1541.0,2.599881554085621,0.0,5e-05
1541.5,2.5999549560973625,0.003,-5e-05
1542.0,2.5999440365885533,0.0,-5e-05
1542.5,2.5999347952234806,0.003,-5e-05
1543.0,2.5998909267406325,0.0,5e-05
1543.5,2.5998771466222723,0.0,5e-05
1544.0,2.5999621429790487,0.003,-5e-05
1544.5,2.5999437467195565,0.0,-5e-05
1545.0,2.5999407263050056,0.003,-5e-05
1545.5,2.599882703887071,0.0,5e-05
1546.0,2.599865931613283,0.0,5e-05
1546.5,2.5999484177543866,0.003,-5e-05
1547.0,2.5999311735797423,0.0,5e-05
1547.5,2.5999277573957267,0.003,-5e-05
1548.0,2.5998875595887054,0.0,5e-05
1548.5,2.5998733868346515,0.0,5e-05
1549.0,2.599949709700795,0.003,-5e-05
1549.5,2.5999334037941533,0.0,5e-05
1550.0,2.599932810812431,0.003,-5e-05
1550.5,2.5998922360227796,0.0,5e-05
1551.0,2.599880261733963,0.0,5e-05
1551.5,2.5999654826843255,0.003,-5e-05
1552.0,2.599954527117215,0.0,-5e-05
1552.5,2.5999347716155214,0.003,-5e-05
1553.0,2.599884958798519,0.0,5e-05
1553.5,2.5998700509219654,0.0,5e-05
1554.0,2.5999453269192854,0.003,-5e-05
1554.5,2.599919469240315,0.0,5e-05
1555.0,2.5999082482212783,0.0023788223274615484,5e-05
1555.5,2.599894508173931,0.0,5e-05
1556.0,2.5999038519321136,0.003,5e-05
1556.5,2.599869528420876,0.0,5e-05
1557.0,2.5998609505465797,0.0,5e-05
1557.5,2.5999487384201916,0.003,-5e-05
1558.0,2.5999384687619,0.0,-5e-05
1558.5,2.599932529345434,0.003,-5e-05
1559.0,2.599887959791923,0.0,5e-05
1559.5,2.599879784511777,0.0,5e-05
1560.0,2.599964751542652,0.003,-5e-05
1560.5,2.599940286102917,0.0,-5e-05
1561.0,2.5999288508253047,0.003,-5e-05
1561.5,2.5998828989181124,0.0,5e-05
1562.0,2.5998776860297297,0.0,5e-05
1562.5,2.5999568049449193,0.003,-5e-05
1563.0,2.5999431167668368,0.0,-5e-05
1563.5,2.5999330905422284,0.003,-5e-05
1564.0,2.5998757217470043,0.0,5e-05
1564.5,2.599854308612344,0.0,5e-05
1565.0,2.599934590596673,0.003,-5e-05
1565.5,2.59991084346632,0.0,5e-05
1566.0,2.5999068054930254,0.002429895066057163,5e-05
1566.5,2.599884857112563,0.0,5e-05
1567.0,2.59988987821683,0.003,5e-05
1567.5,2.5998522567800393,0.0,5e-05
